Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion,Unit_Price,Cost_Per_Item,Profit,Customer_ID,Basket_Size,Product_Category,Category,Sub_Category,Hour,Day,Month
1000000000,2022-01-21 06:27:00,stacey price,"ketchup,shavingcream,lightbulbs",3,71.65,mobile payment,los angeles,warehouse club,True,homemaker,winter,bogo (buy one get one),23.88333333,12.23691328,34.93926015,118350,3,ketchup,condiments,ketchup,6,friday,2022-01
1000000001,2023-03-01 13:01:00,michelle carlson,"icecream,milk,oliveoil,bread,potatoes",2,25.93,cash,san francisco,specialty store,True,professional,fall,bogo (buy one get one),12.965,8.883803295,8.16239341,322706,5,ice cream,dairy,ice cream,13,wednesday,2023-03
1000000002,2024-03-21 15:37:00,lisa graves,spinach,6,41.49,credit card,houston,department store,True,professional,winter,,6.915,4.284521432,15.78287141,864947,1,spinach,vegetables,spinach,15,thursday,2024-03
1000000003,2020-10-31 09:59:00,mrs. patricia may,"tissues,mustard",1,39.34,mobile payment,chicago,pharmacy,True,homemaker,spring,,39.34,22.80136743,16.53863257,549441,2,tissues,cleaning supplies,tissues,9,saturday,2020-10
1000000004,2020-12-10 00:59:00,susan mitchell,dishsoap,10,16.42,debit card,houston,specialty store,False,young adult,winter,discount on selected items,1.642,0.733654782,9.083452177,711317,1,dish soap,cleaning supplies,dish soap,0,thursday,2020-12
1000000005,2021-10-07 12:37:00,joshua frazier,"toothpaste,chicken",3,72.24,cash,houston,supermarket,True,retiree,spring,discount on selected items,24.08,10.75890441,39.96328676,386009,2,toothpaste,personal care,toothpaste,12,thursday,2021-10
1000000006,2023-01-08 10:40:00,victoria garrett,"honey,bbqsauce,soda,oliveoil,gardenhose",4,5.28,cash,boston,specialty store,False,student,summer,discount on selected items,1.32,0.55100111,3.075995558,111095,5,honey,pantry & snacks,honey,10,sunday,2023-01
1000000007,2020-09-03 12:39:00,sydney waller,"syrup,trashcans,pancakemix,water,mayonnaise",5,21.77,debit card,chicago,specialty store,False,young adult,winter,discount on selected items,4.354,2.872999282,7.405003592,820318,5,syrup,pantry & snacks,syrup,12,thursday,2020-09
1000000008,2021-04-05 06:32:00,kimberly morgan,insectrepellent,4,55.25,mobile payment,los angeles,warehouse club,False,homemaker,fall,,13.8125,8.01587033,23.18651868,838676,1,insect repellent,other,insect repellent,6,monday,2021-04
1000000009,2021-07-08 10:08:00,lori conway,"soap,babywipes,soda",7,31.21,mobile payment,boston,convenience store,True,young adult,winter,,4.458571429,2.730526221,12.09631645,919866,3,soap,personal care,soap,10,thursday,2021-07
1000000010,2020-03-18 18:58:00,randall roberts,"extensioncords,soda,water,gardenhose,cleaningspray",8,91.59,debit card,boston,department store,True,middle-aged,fall,bogo (buy one get one),11.44875,4.650200019,54.38839985,692566,5,extension cords,household electronics,extension cords,18,wednesday,2020-03
1000000011,2023-03-30 19:26:00,jeremiah white,"tea,papertowels,spinach",7,31.88,mobile payment,new york,specialty store,False,young adult,fall,discount on selected items,4.554285714,3.146888261,9.851782174,38005,3,tea,beverages,tea,19,thursday,2023-03
1000000012,2023-05-27 15:52:00,sheila mcgee,"salmon,shavingcream",9,39.75,debit card,new york,pharmacy,False,student,summer,discount on selected items,4.416666667,2.869653166,13.92312151,245232,2,salmon,meat & seafood,salmon,15,saturday,2023-05
1000000013,2023-04-02 09:24:00,allen miles,"trashbags,apple,mop,hairgel",7,17.51,mobile payment,seattle,warehouse club,False,retiree,winter,bogo (buy one get one),2.501428571,1.159916764,9.390582652,588347,4,trash bags,cleaning supplies,trash bags,9,sunday,2023-04
1000000014,2020-04-09 04:31:00,mark howard,"razors,laundrydetergent,beef",1,33.64,credit card,san francisco,warehouse club,True,retiree,spring,,33.64,15.29097757,18.34902243,639573,3,razors,other,razors,4,thursday,2020-04
1000000015,2021-01-01 04:29:00,jesse henderson,"cereal,vinegar,bathtowels",7,29.57,mobile payment,san francisco,convenience store,False,retiree,winter,bogo (buy one get one),4.224285714,1.922140201,16.11501859,119040,3,cereal,grains & bakery,cereal,4,friday,2021-01
